ID,bridg_po
100014,0
100033,0
100067,1
100080,1
100131,1
100149,1
100154,1
100177,0
100219,1
100235,0
100300,0
100344,1
100371,0
100385,1
100424,0
100430,1
100448,1
100482,0
100509,1
100513,0
100532,1
100578,1
100584,0
100634,1
100647,1
100652,1
100681,0
100725,0
100739,0
100787,1
100827,1
100843,1
100891,0
100986,1
100993,1
101021,0
101032,0
101045,1
101050,0
101066,0
101078,0
101084,1
101130,0
101148,1
101153,1
101182,0
101273,0
101294,0
101327,1
101336,1
101389,0
101391,1
101423,0
101434,1
101452,0
101468,0
101475,0
101512,1
101531,0
101554,0
101565,0
101577,1
101596,0
101622,1
101667,0
101679,0
101698,1
101701,0
101717,1
101729,0
101738,0
101755,0
101786,0
101803,0
101842,1
101857,1
101890,0
101900,1
101928,1
101937,0
101944,1
101959,0
101963,0
101985,1
102002,0
102041,0
102073,1
102087,0
102094,0
102104,0
102127,1
102136,0
102158,1
102209,0
102221,0
102284,0
102311,1
102324,0
102348,0
102353,0
102395,0
102400,0
102437,0
102459,1
102471,0
102485,0
102492,0
102519,0
102535,1
102542,0
102557,0
102640,0
102686,1
102705,1
102746,0
102751,0
102767,0
102779,0
102808,1
102812,1
102865,1
102883,0
102896,1
102910,0
102952,0
102975,1
102981,0
102999,0
103007,0
103030,0
103048,0
103146,1
103151,0
103200,0
103216,1
103228,0
103237,0
103263,0
103292,0
103325,0
103339,1
103341,0
103356,1
103387,0
103432,0
103445,0
103450,0
103466,0
103484,0
103534,0
103552,1
103581,0
103608,1
103612,1
103620,0
103654,0
103704,1
103715,0
103727,1
103736,1
103743,0
103855,1
103864,1
103893,0
103926,1
103935,1
103942,1
103961,1
103988,0
103990,0
104038,0
104055,0
104086,1
104103,1
104135,1
104157,1
104161,0
104174,1
104188,1
104249,0
104265,1
104296,1
104347,1
104436,0
104462,1
104470,0
104489,0
104539,1
104556,0
104573,0
104587,1
104637,1
104663,0
104671,1
104685,0
104713,0
104721,0
104732,0
104766,0
104811,0
104848,1
104853,0
104895,0
104905,0
104922,1
105071,0
105092,0
105125,0
105156,0
105207,0
105211,0
105224,0
105230,0
105253,1
105269,0
105295,0
105305,1
105322,0
105380,1
105398,0
105435,0
105461,1
105474,0
105501,0
105529,0
105540,0
105586,1
105604,1
105615,1
105636,0
105643,1
105658,1
105662,1
105670,1
105691,1
105708,0
105720,1
105777,0
105796,0
105823,0
105847,1
105868,1
105875,0
105899,1
105909,0
105913,1
105921,0
105932,1
105950,1
105978,0
105997,0
106015,1
106043,1
106058,0
106089,0
106101,0
106117,1
106129,0
106138,1
106140,1
106164,0
106186,1
106223,1
106247,0
106281,1
106309,0
106321,0
106345,1
106350,1
106378,0
106397,0
106402,0
106425,0
106441,0
106460,1
106473,1
106487,1
106500,0
106516,0
106544,0
106592,1
106626,1
106635,1
106688,0
106724,0
106730,0
106753,0
106776,1
106795,0
106814,1
106867,1
106879,0
106880,0
106908,1
106920,0
106949,0
106954,1
106977,0
106996,0
107008,0
107049,0
107065,0
107077,0
107083,0
107110,0
107181,1
107199,0
107201,1
107217,0
107238,0
107255,1
107286,0
107303,0
107319,0
107335,1
107342,1
107361,1
107374,0
107388,1
107414,1
107451,0
107467,0
107479,1
107480,0
107498,1
107524,0
107553,1
107569,0
107576,0
107613,1
107621,0
107697,0
107700,0
107737,1
107744,1
107759,0
107763,0
107792,1
107802,0
107825,0
107839,0
107873,0
107887,0
107927,1
107943,0
107958,0
107962,1
108003,1
108019,0
108042,0
108061,1
108088,1
108090,0
108163,1
108171,1
108251,1
108279,0
108312,0
108320,0
108396,0
108527,0
108543,1
108562,1
108589,0
108694,0
108781,0
108809,0
108813,1
108821,0
108832,0
108866,1
108878,0
108907,0
108930,0
108948,0
108953,0
108969,1
108976,0
108982,0
109023,0
109047,1
109068,1
109075,0
109081,1
109109,1
109121,0
109132,1
109145,0
109150,0
109166,0
109178,0
109184,1
109215,0
109243,0
109262,1
109291,0
109317,0
109338,0
109340,1
109372,1
109393,1
109408,0
109431,1
109483,0
109505,0
109522,0
109546,0
109551,0
109598,1
109607,1
109624,0
109630,1
109676,0
109682,0
109695,1
109719,0
109735,0
109742,0
109757,0
109774,0
109800,1
109828,1
109837,1
109844,0
109859,1
109863,0
109871,1
109885,0
109892,0
109902,1
109918,1
109925,0
109941,1
109956,0
110017,0
110038,0
110064,0
110072,1
110086,0
110093,0
110135,0
110161,0
110174,0
110188,1
110190,1
110208,0
110220,1
110249,0
110265,0
110310,0
110347,1
110375,1
110381,1
110427,1
110436,0
110462,1
110502,0
110525,0
110556,1
110560,0
110600,1
110616,1
110637,0
110659,0
110713,1
110721,0
110750,1
110766,1
110807,1
110853,0
110876,1
110914,0
110922,1
110967,0
110979,1
110998,0
111018,0
111039,0
111041,1
111087,0
111104,0
111115,1
111162,1
111191,1
111209,0
111221,0
111266,0
111278,1
111284,1
111330,0
111353,0
111400,1
111416,0
111444,0
111459,1
111471,0
111492,1
111503,1
111526,1
111542,0
111574,1
111590,0
111601,0
111617,0
111655,1
111672,0
111686,1
111746,0
111767,0
111779,0
111812,0
111831,1
111854,1
111877,1
111906,0
111923,1
111934,1
111975,0
112009,1
112066,0
112084,0
112130,1
112153,0
112273,0
112370,1
112406,1
112447,0
112468,0
112475,1
112508,0
112520,1
112565,0
112646,1
112651,1
112667,0
112679,1
112680,1
112698,0
112701,1
112740,1
112772,1
112786,0
112857,1
112874,1
112900,1
112916,1
112928,0
112971,1
113015,0
113027,0
113043,1
113058,1
113070,1
113089,1
113138,0
113155,1
113164,0
113186,1
113210,1
113223,0
113268,0
113309,1
113397,1
113425,0
113460,1
113494,0
113500,0
113537,0
113563,1
113592,1
113619,0
113626,1
113642,0
113690,1
113707,1
113711,1
113724,0
113730,0
113753,0
113776,0
113795,1
113805,1
113833,0
113846,0
113879,0
113898,0
113912,1
113954,0
113965,0
113983,0
114014,0
114022,1
114033,0
114046,0
114067,1
114079,1
114098,1
114120,1
114131,1
114154,1
114203,0
114235,0
114257,0
114261,1
114300,1
114337,0
114371,0
114392,0
114407,1
114424,1
114453,0
114476,0
114495,0
114509,0
114532,1
114550,1
114566,1
114584,1
114634,0
114647,0
114652,0
114668,0
114675,1
114702,1
114718,0
114741,0
114760,1
114794,1
114804,0
114827,0
114862,1
114870,0
114929,0
114955,1
114972,1
114993,0
115052,1
115075,0
115099,0
115109,0
115113,1
115145,0
115150,0
115197,0
115204,0
115215,0
115258,0
115262,1
115270,0
115291,0
115338,0
115355,0
115408,1
115454,0
115477,0
115496,1
115522,1
115533,0
115546,0
115551,1
115567,0
115579,1
115607,0
115695,1
115726,0
115735,1
115742,0
115800,0
115816,0
115828,0
115837,0
115859,1
115871,0
115892,0
115902,0
115918,0
115925,1
115956,1
115960,0
116007,0
116011,1
116024,0
116030,1
116048,0
116069,1
116076,1
116122,0
116133,1
116167,0
116198,1
116200,0
116216,0
116237,1
116259,0
116325,0
116339,0
116341,1
116360,1
116421,0
116445,0
116450,1
116497,1
116506,0
116510,1
116523,1
116547,1
